name,phi_max_mid,phi_med_mid,phi_max_low,phi_max_high,n_pts,M,M_err,Rs_km,spin,spin_meas,tier
4U 1543-47,16.85020342485901,16.85020342485901,7.535640058536903,33.70040684971802,1,9.4,1.0,27.767672723016332,0.8,True,gold
GRO J1655-40,13.99773380134291,10.795420798807704,6.259976862149856,27.99546760268582,7,5.4,0.3,15.951641777051934,0.7,True,gold
GX 339-4,9.83242031082147,7.348753621804928,4.397192039669284,19.66484062164294,56,5.9,3.6,17.428645645297486,0.95,True,gold
H1743-322,51.281977712310066,23.285538481569006,22.933997637070892,102.56395542462013,28,8.0,2.0,23.632061891928796,0.2,True,silver
MAXI J1348-630,5.204794443885029,3.953228464152034,2.3276548370880277,10.409588887770058,24,11.0,2.0,32.49408510140209,0.8,True,silver
MAXI J1659-152,18.92025672932891,15.947028365930793,8.461396039705456,37.84051345865782,3,5.0,1.5,14.770038682455494,0.5,False,silver
V404 Cyg,9.11950785823997,7.092169062795288,4.078367898473617,18.23901571647994,17,9.0,0.6,26.586069628419896,0.92,True,gold
XTE J1118+480,23.162272764607952,18.641727850543628,10.358483283011072,46.324545529215904,17,7.5,0.6,22.155058023683242,0.5,False,gold
XTE J1550-564,16.281797278697553,16.281797278697553,7.281441102207762,32.563594557395106,1,9.1,0.6,26.881470402069,0.34,True,gold
XTE J1752-223,6.425871243057132,4.719271864071432,2.873736982827364,12.851742486114263,20,9.5,1.5,28.063073496665442,0.92,True,silver
